OPERATEUR;FILIERE;Année;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
Energies et services d'Hagondange;Electricité;2021;44;Grand Est;ENT;TERTIAIRE;96;1;21.913;21.913;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2021;44;Grand Est;PRO;INDUSTRIE;;3;61.913;20.6376666666667;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;INDUSTRIE;43;4;1418.73;354.6825;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;45;2;129.428;64.714;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;82;1;21.349;21.349;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;84;9;657.1;73.0111111111111;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;93;1;2172.771;2172.771;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2022;44;Grand Est;PRO;INCONNU;;949;5337.727;5.62458061116965;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;INCONNU;;7;495.085;70.7264285714286;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;INDUSTRIE;25;3;967.128;322.376;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;61;1;311.055;311.055;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;82;1;19.107;19.107;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;84;9;577.532;64.1702222222222;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;86;1;217.185;217.185;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;93;1;2031.165;2031.165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;ENT;TERTIAIRE;94;1;13.737;13.737;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;PRO;INCONNU;;924;4740.371;5.13027164502165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies et services d'Hagondange;Electricité;2023;44;Grand Est;PRO;INDUSTRIE;;32;143.072;4.471;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2018;44;Grand Est;ENT_PRO;INDUSTRIE;;7;16959.038;2422.71971428571;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2019;44;Grand Est;ENT_PRO;INCONNU;;15;4297.292;286.486133333333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2019;44;Grand Est;ENT_PRO;TERTIAIRE;;5;662.065;132.413;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2019;44;Grand Est;RES;RESIDENTIEL;;2302;12391.046;5.38273066898349;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2020;44;Grand Est;ENT_PRO;INCONNU;;18;4045.605;224.755833333333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2020;44;Grand Est;RES;RESIDENTIEL;;2321;12557.343;5.41031581214994;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;INCONNU;;19;4328.532;227.817473684211;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;INDUSTRIE;25;2;150.939;75.4695;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;INDUSTRIE;31;1;67.494;67.494;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;TERTIAIRE;47;1;82.953;82.953;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2021;44;Grand Est;ENT;TERTIAIRE;70;1;163.727;163.727;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2022;44;Grand Est;ENT;INDUSTRIE;25;2;151.78;75.89;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2022;44;Grand Est;ENT;TERTIAIRE;70;1;159.554;159.554;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2022;44;Grand Est;PRO;TERTIAIRE;;89;929.085;10.4391573033708;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2023;44;Grand Est;ENT;INCONNU;;19;5714.255;300.750263157895;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2023;44;Grand Est;ENT;INDUSTRIE;29;1;272.964;272.964;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energies-services Sainte Marie aux Chênes;Electricité;2023;44;Grand Est;PRO;INCONNU;;167;1646.953;9.86199401197605;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2018;44;Grand Est;ENT_PRO;AGRICULTURE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Energis;Electricité;2018;44;Grand Est;ENT_PRO;TERTIAIRE;;1221;30359.0;24.8640458640459;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
